Cod_Mun,Mun,Referência,Pes_PBF,Pes_Cad,F_PBF_Domi,F_PBF_EP,F_CAD_EP
35223071020,Itapetininga,10/20,17308.0,41318.0,9.99,0.0,3992.0
35224061020,Itapeva,10/20,13121.0,27163.0,14.45,0.0,3465.0
35225051020,Itapevi,10/20,38145.0,64995.0,15.68,0.0,10842.0
35226041020,Itapira,10/20,5129.0,12116.0,7.71,0.0,1820.0
35226531020,Itapirapuã Paulista,10/20,1679.0,2533.0,40.46,0.0,608.0
35227031020,Itápolis,10/20,1798.0,4354.0,3.54,0.0,380.0
35228021020,Itaporanga,10/20,3456.0,6243.0,23.51,0.0,1105.0
35229011020,Itapuí,10/20,1483.0,3341.0,10.5,0.0,503.0
35230081020,Itapura,10/20,983.0,2463.0,18.75,0.0,319.0
35231071020,Itaquaquecetuba,10/20,57841.0,120298.0,15.48,0.0,14389.0
35232061020,Itararé,10/20,8439.0,17492.0,17.45,0.0,2704.0
35233051020,Itariri,10/20,3258.0,5893.0,17.4,0.0,900.0
35234041020,Itatiba,10/20,6427.0,15607.0,5.44,0.0,2214.0
35235031020,Itatinga,10/20,2762.0,6170.0,14.01,0.0,923.0
35236021020,Itirapina,10/20,1879.0,3321.0,13.06,0.0,768.0
35237011020,Itirapuã,10/20,1919.0,3026.0,30.29,0.0,758.0
35238001020,Itobi,10/20,939.0,2325.0,11.47,0.0,222.0
35239091020,Itu,10/20,16252.0,37088.0,10.12,0.0,5533.0
35240061020,Itupeva,10/20,5423.0,9763.0,8.97,0.0,1455.0
35241051020,Ituverava,10/20,4016.0,8385.0,9.52,0.0,1537.0
35242041020,Jaborandi,10/20,664.0,2048.0,9.93,0.0,225.0
35243031020,Jaboticabal,10/20,8031.0,19943.0,10.54,0.0,2687.0
35244021020,Jacareí,10/20,21005.0,49072.0,8.79,0.0,4990.0
35245011020,Jaci,10/20,486.0,1943.0,5.99,0.0,135.0
35246001020,Jacupiranga,10/20,3472.0,8291.0,17.48,0.0,819.0
35247091020,Jaguariúna,10/20,3617.0,8684.0,6.81,0.0,1558.0
35248081020,Jales,10/20,3214.0,9532.0,6.74,0.0,1300.0
35249071020,Jambeiro,10/20,777.0,2139.0,11.08,0.0,293.0
35250031020,Jandira,10/20,9117.0,26992.0,6.8,0.0,735.0
35251021020,Jardinópolis,10/20,4657.0,10166.0,10.55,0.0,1314.0
35252011020,Jarinu,10/20,3407.0,7543.0,11.78,0.0,1289.0
35253001020,Jaú,10/20,7460.0,27161.0,4.94,0.0,2386.0
35254091020,Jeriquara,10/20,569.0,1701.0,15.77,0.0,145.0
35255081020,Joanópolis,10/20,1135.0,2797.0,7.52,0.0,247.0
35256071020,João Ramalho,10/20,592.0,1620.0,12.55,0.0,205.0
35257061020,José Bonifácio,10/20,1695.0,6581.0,3.73,0.0,140.0
35258051020,Júlio Mesquita,10/20,895.0,1733.0,20.0,0.0,374.0
35258541020,Jumirim,10/20,249.0,870.0,7.12,0.0,140.0
35259041020,Jundiaí,10/20,14859.0,35027.0,3.48,0.0,4068.0
35260011020,Junqueirópolis,10/20,2329.0,5254.0,11.74,0.0,951.0
35261001020,Juquiá,10/20,3870.0,8180.0,18.37,0.0,896.0
35262091020,Juquitiba,10/20,7722.0,14437.0,23.78,0.0,1650.0
35263081020,Lagoinha,10/20,965.0,2120.0,18.39,0.0,288.0
35264071020,Laranjal Paulista,10/20,3041.0,7754.0,10.49,0.0,1238.0
35265061020,Lavínia,10/20,555.0,1713.0,8.97,0.0,152.0
35266051020,Lavrinhas,10/20,1512.0,3186.0,20.57,0.0,512.0
35267041020,Leme,10/20,7518.0,26310.0,6.56,0.0,1615.0
35268031020,Lençóis Paulista,10/20,4359.0,9720.0,6.04,0.0,1094.0
35269021020,Limeira,10/20,30486.0,69025.0,10.58,0.0,15070.0
35270091020,Lindóia,10/20,611.0,1465.0,6.72,0.0,99.0
35271081020,Lins,10/20,5700.0,13474.0,7.34,0.0,1544.0
35272071020,Lorena,10/20,9768.0,21598.0,10.58,0.0,1432.0
35272561020,Lourdes,10/20,323.0,1440.0,13.14,0.0,162.0
35273061020,Louveira,10/20,3399.0,14953.0,7.0,0.0,2175.0
35274051020,Lucélia,10/20,2405.0,5471.0,12.56,0.0,1044.0
35275041020,Lucianópolis,10/20,214.0,1037.0,9.08,0.0,105.0
35276031020,Luís Antônio,10/20,1713.0,4665.0,11.35,0.0,747.0
35277021020,Luiziânia,10/20,815.0,2382.0,12.78,0.0,233.0
35278011020,Lupércio,10/20,558.0,1787.0,10.92,0.0,123.0
35279001020,Lutécia,10/20,368.0,1206.0,13.23,0.0,120.0
35280071020,Macatuba,10/20,1166.0,3930.0,6.11,0.0,121.0
35281061020,Macaubal,10/20,983.0,2777.0,12.15,0.0,448.0
35282051020,Macedônia,10/20,399.0,1415.0,8.4,0.0,76.0
35283041020,Magda,10/20,231.0,1475.0,6.5,0.0,61.0
35284031020,Mairinque,10/20,5769.0,11560.0,11.24,0.0,1103.0
35285021020,Mairiporã,10/20,9993.0,27126.0,10.65,0.0,2397.0
35286011020,Manduri,10/20,1011.0,2845.0,9.29,0.0,288.0
35287001020,Marabá Paulista,10/20,919.0,2169.0,24.36,0.0,381.0
35288091020,Maracaí,10/20,1618.0,4181.0,12.2,0.0,684.0
35288581020,Marapoama,10/20,338.0,821.0,9.68,0.0,131.0
35289081020,Mariápolis,10/20,553.0,1683.0,15.03,0.0,266.0
35290051020,Marília,10/20,17836.0,47173.0,7.39,0.0,5224.0
35291041020,Marinópolis,10/20,221.0,1148.0,9.83,0.0,67.0
35292031020,Martinópolis,10/20,3589.0,6823.0,14.37,0.0,1318.0
35293021020,Matão,10/20,6563.0,15760.0,7.86,0.0,2037.0
35294011020,Mauá,10/20,24305.0,61700.0,5.06,0.0,6927.0
35295001020,Mendonça,10/20,334.0,1423.0,5.24,0.0,60.0
35296091020,Meridiano,10/20,424.0,1978.0,9.9,0.0,121.0
35296581020,Mesópolis,10/20,235.0,665.0,9.52,0.0,34.0
35297081020,Miguelópolis,10/20,3632.0,7073.0,17.08,0.0,1461.0
35298071020,Mineiros do Tietê,10/20,1853.0,3633.0,13.81,0.0,551.0
35299061020,Miracatu,10/20,6346.0,11492.0,29.68,0.0,1582.0
35300031020,Mira Estrela,10/20,279.0,1296.0,7.44,0.0,60.0
35301021020,Mirandópolis,10/20,2427.0,6363.0,9.22,0.0,715.0
35302011020,Mirante do Paranapanema,10/20,2908.0,9469.0,14.93,0.0,720.0
35303001020,Mirassol,10/20,3913.0,11415.0,5.99,0.0,893.0
35304091020,Mirassolândia,10/20,519.0,1500.0,11.9,0.0,235.0
35305081020,Mococa,10/20,6885.0,14822.0,9.22,0.0,1649.0
35306071020,Mogi das Cruzes,10/20,69495.0,124648.0,16.68,0.0,29977.0
35307061020,Mogi Guaçu,10/20,10157.0,27223.0,6.33,0.0,2848.0
35308051020,Mogi Mirim,10/20,4449.0,11414.0,4.5,0.0,1051.0
35309041020,Mombuca,10/20,846.0,1736.0,23.55,0.0,288.0
35310011020,Monções,10/20,164.0,845.0,6.54,0.0,40.0
35311001020,Mongaguá,10/20,11572.0,20322.0,20.0,0.0,3180.0
35312091020,Monte Alegre do Sul,10/20,340.0,996.0,4.54,0.0,136.0
35313081020,Monte Alto,10/20,1949.0,5801.0,3.94,0.0,527.0
35314071020,Monte Aprazível,10/20,3040.0,6733.0,12.15,0.0,1368.0
35315061020,Monte Azul Paulista,10/20,1529.0,3990.0,8.22,0.0,499.0
35316051020,Monte Castelo,10/20,570.0,1565.0,13.05,0.0,180.0
35317041020,Monteiro Lobato,10/20,675.0,1436.0,12.68,0.0,173.0
35318031020,Monte Mor,10/20,11761.0,24198.0,21.38,0.0,5759.0
35319021020,Morro Agudo,10/20,4028.0,9002.0,12.44,0.0,1573.0
35320091020,Morungaba,10/20,1113.0,5083.0,7.57,0.0,247.0
35320581020,Motuca,10/20,553.0,1141.0,10.19,0.0,152.0
35321081020,Murutinga do Sul,10/20,895.0,2159.0,19.68,0.0,387.0
35321571020,Nantes,10/20,469.0,1096.0,14.08,0.0,143.0
