Cod_Mun,Mun,Referencia,Pes_PBF,Pes_Cad,F_PBF_Domi,F_PBF_EP,F_CAD_EP
35549530120,Tuiuti,01/20,672.0,2197,"8,06",123,194.0
35550000120,Tupã,01/20,4527.0,17767,"6,63",971,1232.0
35551090120,Tupi Paulista,01/20,904.0,3277,"5,98",228,328.0
35552080120,Turiúba,01/20,147.0,862,"6,34",28,47.0
35553070120,Turmalina,01/20,144.0,930,"6,60",34,57.0
35553560120,Ubarana,01/20,514.0,1403,"7,89",108,160.0
35554060120,Ubatuba,01/20,13779.0,26655,"14,48",3632,5137.0
35555050120,Ubirajara,01/20,844.0,1903,"15,63",197,268.0
35556040120,Uchoa,01/20,472.0,2898,"3,64",28,38.0
35557030120,União Paulista,01/20,112.0,723,"5,24",19,34.0
35558020120,Urânia,01/20,1088.0,3026,"11,32",241,332.0
35559010120,Uru,01/20,212.0,451,"16,88",60,79.0
35560080120,Urupês,01/20,1317.0,3644,"9,09",312,400.0
35561070120,Valentim Gentil,01/20,1502.0,4395,"11,42",418,583.0
35562060120,Valinhos,01/20,4491.0,12371,"3,36",1152,1756.0
35563050120,Valparaíso,01/20,2532.0,6429,"10,61",564,748.0
35563540120,Vargem,01/20,892.0,2620,"7,21",114,184.0
35564040120,Vargem Grande do Sul,01/20,2531.0,8034,"5,29",429,510.0
35564530120,Vargem Grande Paulista,01/20,5449.0,12087,"9,69",1240,1664.0
35565030120,Várzea Paulista,01/20,7612.0,17933,"6,19",1339,1785.0
35566020120,Vera Cruz,01/20,976.0,3448,"8,36",206,294.0
35567010120,Vinhedo,01/20,2728.0,9549,"3,57",718,1106.0
35568000120,Viradouro,01/20,1138.0,8146,"4,78",78,123.0
35569090120,Vista Alegre do Alto,01/20,506.0,2344,"4,77",5,16.0
35569580120,Vitória Brasil,01/20,112.0,684,"4,95",12,23.0
35570060120,Votorantim,01/20,8613.0,20553,"6,93",2020,2903.0
35571050120,Votuporanga,01/20,6121.0,20247,"6,60",1611,2226.0
35571540120,Zacarias,01/20,229.0,1233,"7,67",24,45.0
35572040120,Chavantes,01/20,2009.0,4210,"15,56",488,600.0
35573030120,Estiva Gerbi,01/20,911.0,2635,"8,10",192,314.0
35001050220,Adamantina,02/20,991.0,5191,"2,69",144,169.0
35002040220,Adolfo,02/20,400.0,1715,"10,78",97,153.0
35003030220,Aguaí,02/20,3757.0,9820,"9,16",676,1030.0
35004020220,Águas da Prata,02/20,483.0,1943,"5,76",96,118.0
35005010220,Águas de Lindóia,02/20,952.0,2899,"5,57",211,243.0
35005500220,Águas de Santa Bárbara,02/20,1081.0,2372,"17,86",253,384.0
35006000220,Águas de São Pedro,02/20,113.0,284,"3,02",26,40.0
35007090220,Agudos,02/20,3071.0,8778,"8,09",537,610.0
35007580220,Alambari,02/20,646.0,1657,"8,16",21,29.0
35008080220,Alfredo Marcondes,02/20,482.0,1618,"11,28",107,150.0
35009070220,Altair,02/20,347.0,1356,"8,96",82,139.0
35010040220,Altinópolis,02/20,2245.0,5671,"13,88",619,853.0
35011030220,Alto Alegre,02/20,431.0,1192,"10,52",128,180.0
35011520220,Alumínio,02/20,1568.0,3609,"8,68",340,511.0
35012020220,Álvares Florence,02/20,303.0,1458,"5,86",75,163.0
35013010220,Álvares Machado,02/20,3447.0,7829,"14,33",810,1124.0
35014000220,Álvaro de Carvalho,02/20,808.0,2142,"21,23",175,259.0
35015090220,Alvinlândia,02/20,444.0,1489,"13,44",62,106.0
35016080220,Americana,02/20,10271.0,26164,"4,43",2855,4138.0
35017070220,Américo Brasiliense,02/20,2370.0,5758,"4,72",527,637.0
35018060220,Américo de Campos,02/20,557.0,2481,"7,96",60,79.0
35019050220,Amparo,02/20,3160.0,7745,"3,91",670,782.0
35020020220,Analândia,02/20,519.0,1140,"10,14",143,208.0
35021010220,Andradina,02/20,5211.0,12164,"9,42",1485,2125.0
35022000220,Angatuba,02/20,2395.0,7709,"9,17",446,610.0
35023090220,Anhembi,02/20,1192.0,2595,"17,21",274,442.0
35024080220,Anhumas,02/20,492.0,1847,"9,72",74,111.0
35025070220,Aparecida,02/20,2776.0,6508,"6,15",238,288.0
35026060220,Aparecida d'Oeste,02/20,754.0,1864,"17,11",220,296.0
35027050220,Apiaí,02/20,5247.0,11706,"22,57",1292,1786.0
35027540220,Araçariguama,02/20,2950.0,6209,"14,28",698,1055.0
35028040220,Araçatuba,02/20,12883.0,40274,"5,36",3180,3897.0
35029030220,Araçoiaba da Serra,02/20,2873.0,8406,"8,42",557,819.0
35030000220,Aramina,02/20,523.0,1672,"9,62",137,230.0
35031090220,Arandu,02/20,767.0,2448,"11,11",148,232.0
35031580220,Arapeí,02/20,460.0,1414,"16,88",138,171.0
35032080220,Araraquara,02/20,12182.0,36793,"4,95",2401,3760.0
35033070220,Araras,02/20,13663.0,33523,"11,72",4030,5930.0
35033560220,Arco-Íris,02/20,428.0,985,"20,57",105,130.0
35034060220,Arealva,02/20,798.0,2910,"8,14",140,252.0
